comparison,direct_comparison,reason,same_replays,same_maps,same_pn,same_layout,same_payload,same_writer,same_ecc_integrity,same_detector,same_bootstrap_unit,system_spec_sha256
PREFIX vs DISTRIBUTED,YES,paired replay/message/PN/payload/writer/detector; layout only differs,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
SECDED vs uncoded equal useful,YES,paired replay/layout and equal useful bits; physical budget intentionally differs,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
hard SECDED vs integrity,YES,same physical replay and hard decoding; decision layer only,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
normal 7.5% vs floor 12.5%,APPROXIMATE,same new corpus framework but disjoint intrinsic capacity classes,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
PN keys Phase 2,YES,same replay/layout/message/config; PN realization differs,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
message families,YES,same replay/layout/PN/config; message differs; duplicate conditions marked,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
classifier families,YES,identical frozen features/folds; classifier differs,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
decoder BER 4.21% vs new-corpus normal BER 2.55%,NO,different corpus and coding-era physical experiments,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
integrity validation rates vs new-corpus normal rates,NO,"different corpus; use as scoped replication, not pooled score",see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
historical 3-feature AUC vs final FULL-29,NO,detector feature set and physical method differ,see reason,see reason,see reason,see reason,see reason,True,see reason,see reason,metric-specific,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
