branch,result_path,report_path,config_path,experiment_lock_path,hash_manifest_path,source_corpus,replay_count,beatmap_count,physical_configuration,scientific_status,eligible_for_final_claims,artifact_count,provenance_note
timing_calibration,results/matching,,,,,active dataset plus pre-quarantine diagnostics,scope-specific,scope-specific,see config/lock and claim registry,LEVEL 1 — INTERNAL / EXPLORATORY,True,2,"no branch-level manifest; lower provenance, source hashes recorded per claim"
matching_validation,results/matching,,,,,949 active replay files; 34 maps,949,scope-specific,see config/lock and claim registry,LEVEL 2 — FROZEN DEVELOPMENT HOLDOUT,True,2,"no branch-level manifest; lower provenance, source hashes recorded per claim"
adaptive_alpha,results/adaptive_alpha_validation_v1,,,,,611/338 map-disjoint split,611/338,scope-specific,see config/lock and claim registry,LEVEL 2 — FROZEN DEVELOPMENT HOLDOUT,True,10,"no branch-level manifest; lower provenance, source hashes recorded per claim"
strong_steganalysis,results/strong_steganalysis_v1,,,,,338 validation replays; FULL-29,338,scope-specific,see config/lock and claim registry,LEVEL 2 — FROZEN DEVELOPMENT HOLDOUT,True,13,"no branch-level manifest; lower provenance, source hashes recorded per claim"
distributed_layout,results/adaptive_layout_strong_v1,,results/adaptive_layout_strong_v1/config.json,,,611 development / 338 validation; five layouts,611,scope-specific,see config/lock and claim registry,LEVEL 3 — UNSEEN-BEATMAP VALIDATION,True,13,"no branch-level manifest; lower provenance, source hashes recorded per claim"
decoder_errors,results/decoder_error_analysis_v1,results/decoder_error_analysis_v1/ecc_recommendation.md,results/decoder_error_analysis_v1/config.json,,,physical validation matrix; five layouts,scope-specific,scope-specific,see config/lock and claim registry,LEVEL 2 — FROZEN DEVELOPMENT HOLDOUT,True,7,"no branch-level manifest; lower provenance, source hashes recorded per claim"
secded,results/ecc_equal_payload_v1,,results/ecc_equal_payload_v1/config.json,,,80 replays × five layouts,80,scope-specific,see config/lock and claim registry,LEVEL 2 — FROZEN DEVELOPMENT HOLDOUT,True,11,"no branch-level manifest; lower provenance, source hashes recorded per claim"
confidence_erasure,results/ecc_confidence_pilot_v1,,results/ecc_confidence_pilot_v1/config.json,,,pilot only,scope-specific,scope-specific,see config/lock and claim registry,NEGATIVE / REJECTED METHOD,False,8,"no branch-level manifest; lower provenance, source hashes recorded per claim"
integrity_design,results/ecc_integrity_rejection_v1,results/ecc_integrity_rejection_v1/integrity_report.md,,,,rule design; consumed,scope-specific,scope-specific,see config/lock and claim registry,LEVEL 1 — INTERNAL / EXPLORATORY,False,21,"no branch-level manifest; lower provenance, source hashes recorded per claim"
integrity_validation,results/ecc_integrity_validation_v1,results/ecc_integrity_validation_v1/validation_report.md,results/ecc_integrity_validation_v1/config.json,results/ecc_integrity_validation_v1/validation_lock.json;results/ecc_integrity_validation_v1/validation_lock_amendment.json,,167 eligible validation replays × five layouts,167,scope-specific,see config/lock and claim registry,LEVEL 3 — UNSEEN-BEATMAP VALIDATION,True,25,"no branch-level manifest; lower provenance, source hashes recorded per claim"
capacity,results/capacity_coverage_v1,results/capacity_coverage_v1/capacity_report.md,,,results/capacity_coverage_v1/result_hashes.json,611 development replays; estimates mixed with pilot,611,scope-specific,see config/lock and claim registry,LEVEL 1 — INTERNAL / EXPLORATORY,True,10,manifest verified
floor_pilot,results/one_codeword_floor_pilot_v1,results/one_codeword_floor_pilot_v1/pilot_report.md,results/one_codeword_floor_pilot_v1/config.json,,results/one_codeword_floor_pilot_v1/result_hashes.json,80 development replays,80,scope-specific,see config/lock and claim registry,LEVEL 1 — INTERNAL / EXPLORATORY,False,14,manifest verified
floor_validation,results/one_codeword_floor_validation_v1,results/one_codeword_floor_validation_v1/validation_report.md,results/one_codeword_floor_validation_v1/payload_policy.json,results/one_codeword_floor_validation_v1/validation_lock.json,results/one_codeword_floor_validation_v1/result_hashes.json,300 primary replays on 20 new maps,300,scope-specific,see config/lock and claim registry,LEVEL 4 — NEW-CORPUS / NEW-MAP VALIDATION,True,33,manifest verified
pn_phase1,results/pn_key_robustness_v1,results/pn_key_robustness_v1/pn_robustness_report.md,,results/pn_key_robustness_v1/experiment_lock.json,results/pn_key_robustness_v1/result_hashes.json,68 replays; 15 maps; 11 PN keys; five layouts,68,scope-specific,see config/lock and claim registry,ROBUSTNESS REANALYSIS — SCIENTIFICALLY CONSUMED DATA,True,28,manifest verified
pn_phase2,results/pn_key_robustness_phase2_v1,results/pn_key_robustness_phase2_v1/phase0_design_recommendation.md;results/pn_key_robustness_phase2_v1/pn_phase2_report.md,,results/pn_key_robustness_phase2_v1/detector_subset_lock.json;results/pn_key_robustness_phase2_v1/experiment_lock.json,results/pn_key_robustness_phase2_v1/result_hashes.json,68 replays; 15 maps; 30 new PN keys; three layouts,68,scope-specific,see config/lock and claim registry,ROBUSTNESS REANALYSIS — SCIENTIFICALLY CONSUMED DATA,True,40,manifest verified
host_aware_pn,results/host_aware_pn_selection_v1,results/host_aware_pn_selection_v1/host_aware_pn_report.md,results/host_aware_pn_selection_v1/frozen_selector.json,results/host_aware_pn_selection_v1/experiment_lock.json,results/host_aware_pn_selection_v1/result_hashes.json,"100 replay-disjoint, map-overlapping replays",100,scope-specific,see config/lock and claim registry,NEGATIVE / REJECTED METHOD,True,33,manifest verified
classifier_family,results/classifier_family_robustness_v1,results/classifier_family_robustness_v1/audit.md;results/classifier_family_robustness_v1/classifier_robustness_report.md,results/classifier_family_robustness_v1/classifier_config.json,results/classifier_family_robustness_v1/experiment_lock.json,results/classifier_family_robustness_v1/result_hashes.json,68 development and 135 unseen-map replays,68,scope-specific,see config/lock and claim registry,ROBUSTNESS REANALYSIS — SCIENTIFICALLY CONSUMED DATA,True,23,manifest verified
message_content,results/message_content_robustness_v1,results/message_content_robustness_v1/message_content_report.md;results/message_content_robustness_v1/source_artifact_audit.md,,results/message_content_robustness_v1/experiment_lock.json;results/message_content_robustness_v1/post_lock_corrections.json,results/message_content_robustness_v1/result_hashes.json,100 replays; five messages; three layouts,100,scope-specific,see config/lock and claim registry,ROBUSTNESS REANALYSIS — SCIENTIFICALLY CONSUMED DATA,True,27,manifest verified
