quantity,value,denominator,measurement,scope_note,source_artifact,same_exact_final_system,system_spec_sha256
eligibility,0.45,input replay,DIRECT,"new corpus, normal class",results/one_codeword_floor_validation_v1/system_metrics_summary.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
abstention,0.55,input replay,DERIVED,1-normal eligibility; final default excludes floor,results/one_codeword_floor_validation_v1/policy_cost_benefit.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
mean useful bits,4.444,eligible replay-layout config,DIRECT,normal class,results/one_codeword_floor_validation_v1/reliability_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
raw BER,0.0255,6000 coded bits,DIRECT,normal class,results/one_codeword_floor_validation_v1/reliability_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
post-ECC BER,0.0100,3000 useful bits,DIRECT,normal class,results/one_codeword_floor_validation_v1/reliability_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
CORRECT_ACCEPT,617/675 (91.41%),eligible replay-layout config,DIRECT,normal class,results/one_codeword_floor_validation_v1/reliability_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
WRONG_ACCEPT,0/675 observed,eligible replay-layout config,DIRECT,zero-event uncertainty remains,results/one_codeword_floor_validation_v1/reliability_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
REJECT,58/675 (8.59%),eligible replay-layout config,DIRECT,normal class,results/one_codeword_floor_validation_v1/reliability_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
correctly accepted useful bits,3.917,eligible replay-layout config,DIRECT,normal class,results/one_codeword_floor_validation_v1/reliability_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
correctly accepted useful bits,1.763,input replay-layout opportunity,DIRECT,300 replays × five layouts denominator,results/one_codeword_floor_validation_v1/policy_cost_benefit.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
active-carrier fraction,0.998658,requested carrier,DIRECT,normal class,results/one_codeword_floor_validation_v1/physical_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
chronology drops,0.0844,eligible config mean,DIRECT,normal class,results/one_codeword_floor_validation_v1/physical_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
new matcher-unmatched,0.4341,eligible config mean,DIRECT,normal class,results/one_codeword_floor_validation_v1/physical_by_class.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
FULL-29 AUC,0.629–0.657 across five layouts,135 replay pairs/layout,DIRECT,frozen development-to-new-map normal class,results/one_codeword_floor_validation_v1/detector_auc.csv,True,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
