claim_id,short_claim,status,branch,exact_scope,dataset,replay_count,beatmap_count,primary_metric,point_estimate,uncertainty,uncertainty_unit,source_file,source_row_or_field,source_hash,deployable?,independent_validation?,caveat,allowed_final_wording,forbidden_overclaim,system_spec_sha256
DATA_001,Active post-quarantine corpus has 949 replays on 34 maps.,VALID,matching_validation,active corpus,original active,949,34,counts,949;34,exact,replay/map,data/metadata/results_v3_clean.csv,all rows,551703054575967c848a444bf8c5675437b0e806bf4b15b0d5cd2a8338798665,True,False,same broad source family,active corpus contained,external population,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
MATCH_001,Active-corpus weighted match ratio is 99.22%; median replay ratio is 100%.,VALID,matching_validation,active post-quarantine,original active,949,34,weighted match ratio,0.9922218795369235,exact descriptive aggregation,matched note,data/metadata/results_v3_clean.csv,sum(num_matched)/sum(num_notes),551703054575967c848a444bf8c5675437b0e806bf4b15b0d5cd2a8338798665,True,False,"98.68% is the pre-quarantine 1,000-replay value",99.22% observed,matching is perfect,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
ADAPT_001,Sender-local adaptive alpha reduced FULL-29 AUC relative to fixed alpha in frozen validation.,VALID,adaptive_alpha,validation replay-grouped,338 validation,338,11,AUC,0.5657 vs 0.5780,individual replay-cluster CIs,replay_file,results/adaptive_alpha_validation_v1/heldout_method_summary.csv,validation_replay_grouped_cv rows,0f08c6d88f981b8b97e845d2a7327133e0cb54b82bd0f720414f3ee232515c53,True,False,older PREFIX experiment,reduced point estimate,universally improves stealth,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
DIST_001,DISTRIBUTED reduced PREFIX FULL-29 AUC for adaptive alpha across all five frozen layouts.,VALID,distributed_layout,validation replay-grouped,338 validation,338,11,paired AUC delta,-0.1558 to -0.1974,all five 95% replay-cluster CIs exclude zero,replay_file,results/adaptive_layout_strong_v1/auc_paired.csv,adaptive rows,6d1d23f714e6e18bb3aec9f63dbfc770848260909b7f377858af131c93f393f9,True,False,detector- and corpus-specific,substantially reduced,eliminated detectability,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
DIST_002,Adaptive DISTRIBUTED generalized to unseen maps with FULL-29 AUC 0.597–0.614 over five layouts.,VALIDATED ON UNSEEN MAPS,distributed_layout,development-to-validation,611 train / 338 validation,338,11,AUC range,0.5966–0.6144,beatmap-cluster CIs by layout,beatmap_hash,results/adaptive_layout_strong_v1/dev_to_validation_auc_by_seed.csv,adaptive distributed rows,67fbed5d1dcad5f6dfcc154f17b295a0613e75b07767874054ec6f28f3164599,True,True,same original source family,modest above-chance detectability,undetectable,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
DECODER_001,Raw physical BER was 4.21% and errors were mildly bursty.,VALID,decoder_errors,five existing layouts,validation physical matrix,338,11,weighted raw BER,0.042139,descriptive; lag-1 and run diagnostics,coded bit,results/decoder_error_analysis_v1/error_summary.csv,overall and independence rows,cbda509868c02361d14d120c6246abfabde9a53fe406a578439cdb8940b43940,True,False,not independent; clustering is modest,mildly bursty,independent errors,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
CONF_001,Low absolute correlation predicted bit error with AUC 0.854.,VALID,decoder_errors,five existing layouts,validation physical matrix,338,11,error-prediction AUC,0.85358,descriptive,coded bit,results/decoder_error_analysis_v1/error_summary.csv,low_abs_correlation_error_auc,cbda509868c02361d14d120c6246abfabde9a53fe406a578439cdb8940b43940,True,False,confidence is not calibrated probability,useful error indicator,guarantees correctness,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
ECC_001,SECDED improved equal-useful-payload full-message recovery by 18.0 pp.,VALID,secded,paired equal-useful payload,80-replay ECC panel,80,scope-specific,full-message recovery delta,0.18,"95% CI [0.1275,0.2325]",replay_file,results/ecc_equal_payload_v1/paired_recovery.csv,equal_useful/full_message_recovered,4f1d8dfa35e2f30bfa0739a65b84ee4f7a3c637149d893baaabd162b66d12ef2,True,False,50% code rate and twice physical bits,improved same-message recovery,improved capacity,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
INT_001,Frozen integrity reduced wrong acceptance from 14/835 to 1/835.,VALIDATED ON UNSEEN MAPS,integrity_validation,eligible validation replays × five layouts,original validation,167,5,wrong accept rate,1.6766% to 0.1198%,"paired delta CI [-2.7545,-0.5988] pp",replay_file,results/ecc_integrity_validation_v1/summary.csv,baseline/integrity rows,54e70a16ac72e95032e3c1c985cf17b3eb9f3a4cb56d5ad518ee94fe24b37f54,True,True,correct accept fell and rejection rose,reduced observed silent acceptance,zero risk,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
INT_002,Integrity captured 13/14 baseline wrong accepts but additionally rejected 51/767 baseline-correct messages.,VALIDATED ON UNSEEN MAPS,integrity_validation,eligible validation,original validation,167,5,transition counts,13/14;51/767,exact observed counts,physical configuration,results/ecc_integrity_validation_v1/silent_error_capture.csv,single row plus false_rejection.csv,9e83948dd0e712c8d595221ea6ea33018d0a2c443269c12e54e6a33303e2182d,True,True,K=8 subgroup rejection severe,tradeoff,authentication,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
