file,line,terms,status,context_classification,system_spec_sha256
AGENTS.md,224,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,236,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,238,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,274,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,303,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,455,secure,PROHIBITED_IF_ASSERTED; CURRENT OCCURRENCE IS WARNING/NEGATION OR HISTORICAL,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,484,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,506,undetectable;capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,507,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,545,always,REVIEWED_CONTEXTUAL_USE,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,578,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,640,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,655,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,673,always,REVIEWED_CONTEXTUAL_USE,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,674,undetectable,PROHIBITED_IF_ASSERTED; CURRENT OCCURRENCE IS WARNING/NEGATION OR HISTORICAL,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
